Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Mood swings",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough, Weight loss",Elderly,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Cough, Fatigue",Elderly,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Acne",Elderly,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Acne, Irregular periods, Hair thinning, Weight gain",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Teen,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Cough, Body aches",Adult,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue",Teen,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Teen,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea, Shortness of breath",Teen,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Adult,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems",Adult,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Irregular periods, Acne",Teen,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing",Adult,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Cough, Chills",Teen,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Vomiting, Nausea",Child,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath",Child,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Child,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Child,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain, Sweating",Teen,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Dryness, Red patches, Swelling, Itchy skin",Adult,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Red patches, Itchy skin",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath",Elderly,Male,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Abdominal pain",Teen,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Itchy skin, Swelling, Red patches, Dryness",Child,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Teen,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Dryness",Child,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Chest pain",Elderly,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Red patches, Itchy skin, Swelling",Elderly,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Frequent urination, Increased thirst",Child,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Adult,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
PCOS,Chronic Disorder,"Hair thinning, Acne",Elderly,Male,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Cough, Chest tightness, Wheezing, Shortness of breath",Child,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue, Increased thirst",Teen,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness, Shortness of breath",Elderly,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Flu,Common Illnesses,"Body aches, Chills, Fever, Cough",Child,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Fatigue, Cough",Teen,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Nausea, Shortness of breath",Teen,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Fever, Chills, Sore throat, Cough",Adult,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Elderly,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Fatigue, Night sweats, Weight loss, Cough",Child,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Child,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Elderly,Any,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Confusion",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Shortness of breath, Cough",Teen,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue, Increased thirst",Elderly,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Abdominal pain",Child,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness",Elderly,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Nausea, Vomiting",Teen,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Fatigue",Adult,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea",Elderly,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
